continent,country,cases,stringency_index,population,aged_65_older,aged_70_older,diabetes_prevalence,hospital_beds_per_thousand,week,measure,constraints
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,1,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,1,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,1,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,1,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,1,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,1,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,2,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,2,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,2,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,2,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,2,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,2,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,2,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,3,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,3,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,3,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,3,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,3,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,3,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,3,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,4,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,4,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,4,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,4,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,4,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,4,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,4,None,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Travel restriction,1
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Social distancing,1
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Travel restriction,1
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Social distancing,1
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Travel restriction,1
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Social distancing,1
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Travel restriction,1
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Social distancing,1
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Risk communication,0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,"Case identification, contact tracing and related measures",0
Europe,Austria,0.0,0.0,9006400,19.202,13.748,6.35,7.37,5,Travel restriction,1
